Year,CPI,ratio_2019,source
1947,37.5,10.04,measured
1948,40.5,9.296296296,measured
1949,40,9.4125,measured
1950,40.5,9.296296296,measured
1951,43.7,8.615560641,measured
1952,44.5,8.460674157,measured
1953,44.8,8.404017857,measured
1954,45.2,8.329646018,measured
1955,45,8.366666667,measured
1956,45.7,8.238512035,measured
1957,47.2,7.976694915,measured
1958,48.5,7.762886598,measured
1959,48.9,7.699386503,measured
1960,49.7,7.575452716,measured
1961,50.2,7.5,measured
1962,50.7,7.426035503,measured
1963,51.4,7.324902724,measured
1964,52.1,7.226487524,measured
1965,52.9,7.117202268,measured
1966,54.4,6.920955882,measured
1967,56.1,6.711229947,measured
1968,58.3,6.457975986,measured
1969,60.9,6.18226601,measured
1970,63.9,5.892018779,measured
1971,66.7,5.644677661,measured
1972,68.7,5.480349345,measured
1973,73,5.157534247,measured
1974,80.3,4.688667497,measured
1975,86.9,4.332566168,measured
1976,91.9,4.096844396,measured
1977,97.7,3.853633572,measured
1978,104.4,3.606321839,measured
1979,114.3,3.293963255,measured
1980,127.1,2.962234461,measured
1981,139.1,2.706685838,measured
1982,147.5,2.552542373,measured
1983,153.8,2.447984395,measured
1984,160.2,2.350187266,measured
1985,165.7,2.272178636,measured
1986,168.6,2.233096085,measured
1987,174.4,2.158830275,measured
1988,180.7,2.083563918,measured
1989,188.6,1.996288441,measured
1990,197.9,1.902475998,measured
1991,205.1,1.835689907,measured
1992,210.2,1.791151284,measured
1993,215.5,1.747099768,measured
1994,220,1.711363636,measured
1995,225.3,1.671105193,measured
1996,231.3,1.627756161,measured
1997,236.3,1.593313584,measured
1998,239.5,1.572025052,measured
1999,244.6,1.539247751,measured
2000,252.9,1.488730724,measured
2001,260.1,1.447520185,measured
2002,264.2,1.425056775,measured
2003,270.2,1.393412287,measured
2004,277.5,1.356756757,measured
2005,286.9,1.312303939,measured
2006,296.2,1.271100608,measured
2007,304.6,1.236047275,measured
2008,316.3,1.19032564,measured
2009,315.2,1.194479695,measured
2010,320.4,1.175093633,measured
2011,330.5,1.139183056,measured
2012,337.5,1.115555556,measured
2013,342.5,1.099270073,measured
2014,348.3,1.080964686,measured
2015,348.9,1.079105761,measured
2016,353.4,1.065365025,measured
2017,361,1.042936288,measured
2018,369.8,1.018117902,measured
2019,376.5,1,measured
2020,380.8,0.988707983,measured
2021,399.2,0.943136273,measured
2022,431.5,0.872537659,measured
2023,452.212,0.832574102,projected
2024,465.77836,0.808324371,projected
2025,476.0254839,0.790924042,projected
2026,486.0220191,0.774656261,projected
2027,496.2284815,0.758723076,projected
2028,507.6417366,0.741664786,projected
2029,519.3174965,0.724990016,projected
2030,531.2617989,0.708690143,projected
2031,543.4808203,0.692756738,projected
2032,555.9808792,0.677181562,projected
2033,568.7684394,0.661956561,projected
2034,581.8501135,0.647073862,projected
2035,595.2326661,0.632525769,projected
2036,608.9230174,0.61830476,projected
2037,622.9282468,0.60440348,projected
2038,637.2555965,0.590814741,projected
2039,651.9124752,0.577531516,projected
2040,666.9064621,0.564546936,projected
2041,682.2453108,0.551854288,projected
2042,697.9369529,0.539447007,projected
2043,713.9895028,0.527318677,projected
2044,730.4112614,0.515463027,projected
2045,747.2107204,0.503873927,projected
2046,764.396567,0.492545383,projected
2047,781.977688,0.481471538,projected
2048,799.9631748,0.470646665,projected
2049,818.3623279,0.460065166,projected
2050,837.1846614,0.44972157,projected
